 No,class,tweet
1,1,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp  as a man you should always take the trash out…
2,1,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
3,1,@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles
4,1,@Allyhaaaaa: Lemmie eat a Oreo &amp  do these dishes. One oreo? Lol
5,1,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
6,1,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
7,1,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
8,1,"@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."
9,1,@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight. I do that
10,1,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
11,1,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
12,1,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
13,1,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
14,1,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
15,1,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
16,1,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
17,1,@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks @dliming35 #bum
18,1,"@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos haircut http://t.co/tYCIhD6PkW&#8221 yes lmfao""@soccerboy_04 I would lick his dirty soles while he slept."
19,1,@MaxMayo77: http://t.co/3Jk4kR44X3 a pissed lad past out.
20,1,@MaxMayo77: http://t.co/PrrskknqRv love frat boy w/ soft long soles
21,1,@MaxMayo77: http://t.co/XpSC3makgJ sexy lad with hot soles and arches.
22,1,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
23,1,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
24,1,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
25,1,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
26,1,@RachieSoul: @DizzleOfficial inna di ghetto!!! You alone lmaoo
27,1,@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season. Lmao trash
28,1,@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187  http://t.co/JOOsdSubIR he's a bitch
29,1,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
30,1,@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah &#128514 &#128514 &#128514
31,1,@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha suure.. tuku ho Ita! &#128514 &#128514
32,1,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
33,1,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
34,1,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
35,1,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"""
36,1,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha"
